timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538059387602,3,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-99,text,true,,2495,184,2,2,http://10.0.10.10:9966/petclinic/api/owners,3,0,0
1538059387592,13,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-100,text,true,,2495,184,2,2,http://10.0.10.10:9966/petclinic/api/owners,13,0,1
1538059387605,3,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-100,text,true,,2495,184,2,2,http://10.0.10.10:9966/petclinic/api/owners,3,0,1
1538059387605,4,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-99,text,true,,2495,184,2,2,http://10.0.10.10:9966/petclinic/api/owners,4,0,1
1538059387608,3,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-100,text,true,,2495,184,3,3,http://10.0.10.10:9966/petclinic/api/owners,3,0,0
1538059387609,4,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-99,text,true,,2495,184,3,3,http://10.0.10.10:9966/petclinic/api/owners,4,0,1
1538059387611,4,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-100,text,true,,2495,184,3,3,http://10.0.10.10:9966/petclinic/api/owners,4,0,2
1538059387611,5,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-98,text,true,,2495,184,3,3,http://10.0.10.10:9966/petclinic/api/owners,5,0,2
1538059387613,5,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-99,text,true,,2495,184,3,3,http://10.0.10.10:9966/petclinic/api/owners,5,0,1
1538059387615,3,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-100,text,true,,2495,184,3,3,http://10.0.10.10:9966/petclinic/api/owners,3,0,1
1538059387616,4,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-98,text,true,,2495,184,3,3,http://10.0.10.10:9966/petclinic/api/owners,4,0,1
1538059387619,3,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-99,text,true,,2495,184,4,4,http://10.0.10.10:9966/petclinic/api/owners,3,0,0
1538059387619,3,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-100,text,true,,2495,184,4,4,http://10.0.10.10:9966/petclinic/api/owners,3,0,0
1538059387621,2,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-97,text,true,,2495,184,4,4,http://10.0.10.10:9966/petclinic/api/owners,2,0,0
1538059387621,3,HTTP Request,200,,jp@gc - Ultimate Thread Group 1-98,text,true,,2495,184,4,4,http://10.0.10.10:9966/petclinic/api/owners,3,0,1
